Departures,Domestic,International,FlagCarrier_Flights,Name,Area,Development_Level
4909,547,4362,41097,Kyrgyzstan,Asia,Low
15569,2635,12934,10415,Cambodia,Africa,Low
3895,3748,147,3796,Kiribati.Pacific,Low
3422,68,3354,0,Saint Kitts and Nevis,Americas,Low
281104,182953,98151,333368,Republic of Korea,Asia,High
28207,0,28207,29539,Kuwait,Asia,Medium
13016,9548,3468,21493,Lao People's Democratic Republic,Asia,Low
11360,0,11360,10066,Lebanon,Asia,Medium
878,0,878,0,Liberia,Asia,Low
4782,270,4512,9739,Libya,Asia,Low
3458,0,3458,0,Saint Lucia,Americas,Low
11383,1399,9984,10777,Sri Lanka,Asia,Low
306,0,306,0,Lesotho,Africa,Low
11455,0,11455,2242,Lithuania,Europe,Medium
18119,0,18119,32780,Luxembourg,Europe,High
15160,169,14991,23440,Latvia,Europe,Medium
"9388,0,9388,7885,""China, Macao Special Administrative Region"",Asia,Low"
43674,10078,33596,45937,Morocco,Africa,Medium
16072,0,16072,0,Monaco,Europe,High
4296,0,4296,2282,Republic of Moldova,Europe,Low
9204,7352,1852,8029,Madagascar,Africa,Low
11387,6337,5050,7982,Maldives,Asia,Low
419140,317972,101168,375359,Mexico,Americas,Medium
348,96,252,0,Marshall Islands,Pacific,Low
5023,0,5023,0,The Republic of North Macedonia,Europe,Low
3306,160,3146,0,Mali,Africa,Low
10431,0,10431,12927,Malta,Europe,High
56732,48093,8639,48455,Myanmar,Asia,Low
4068,0,4068,2856,Montenegro,Europe,Medium
2615,1841,774,3040,Mongolia,Asia,Low
1918,0,1918,0,Northern Mariana Islands,Pacific,Low
9619,7705,1914,6897,Mozambique,Africa,Low
2376,539,1837,3808,Mauritania,Africa,Low
1064,0,1064,2116,Montserrat,Americas,Low
1501,0,1501,0,Martinique,Americas,Low
4822,2078,2744,4928,Mauritius,Africa,Low
5182,2924,2258,3353,Malawi,Africa,Low
195532,143352,52180,202210,Malaysia,Asia,High
2236,0,2236,2651,Mayotte,Africa,Low
6432,3807,2625,6293,Namibia,Africa,Low
9565,8799,766,11453,New Caledonia,Pacific,Low
2111,160,1951,160,Niger,Africa,Low
218,0,218,0,Norfolk Island,Pacific,Low
50153,41225,8928,38035,Nigeria,Africa,Medium
6300,3404,2896,3498,Nicaragua,Americas,Low
45,0,45,0,Niue,Pacific,Low
129591,197,129394,170672,Netherlands,Europe,High
205852,170566,35286,146484,Norway,Europe,High
62374,55974,6400,61342,Nepal,Asia,Low
112,0,112,335,Nauru,Pacific,Low
150882,137892,12990,123593,New Zealand,Pacific,High
36908,6235,30673,50512,Oman,Asia,Medium
44603,19727,24876,30962,Pakistan,Asia,Medium
32768,7619,25149,51468,Panama,Americas,Medium
56833,44344,12489,12133,Peru,Americas,Medium
120709,90502,30207,113435,Philippines,Asia,Medium
281,0,281,0,Palau,Low
