Year,Departures,Domestic,State,International,FlagCarrier_Flights,Name
2020,348,96,MHL,252,0,Marshall Islands
2020,5023,0,MKD,5023,0,The Republic of North Macedonia
2020,3306,160,MLI,3146,0,Mali
2020,10431,0,MLT,10431,12927,Malta
2020,56732,48093,MMR,8639,48455,Myanmar
2020,4068,0,MNE,4068,2856,Montenegro
2020,2615,1841,MNG,774,3040,Mongolia
2020,1918,0,MNP,1918,0,Northern Mariana Islands
2020,9619,7705,MOZ,1914,6897,Mozambique
2020,2376,539,MRT,1837,3808,Mauritania
2020,1064,0,MSR,1064,2116,Montserrat
2020,1501,0,MTQ,1501,0,Martinique
2020,4822,2078,MUS,2744,4928,Mauritius
2020,5182,2924,MWI,2258,3353,Malawi
2020,195532,143352,MYS,52180,202210,Malaysia
2020,2236,0,MYT,2236,2651,Mayotte
2020,6432,3807,NAM,2625,6293,Namibia
2020,9565,8799,NCL,766,11453,New Caledonia
2020,2111,160,NER,1951,160,Niger
2020,218,0,NFK,218,0,Norfolk Island
2020,50153,41225,NGA,8928,38035,Nigeria
2020,6300,3404,NIC,2896,3498,Nicaragua
2020,45,0,NIU,45,0,Niue
2020,129591,197,NLD,129394,170672,Netherlands
2020,205852,170566,NOR,35286,146484,Norway
2020,62374,55974,NPL,6400,61342,Nepal
2020,112,0,NRU,112,335,Nauru
2020,150882,137892,NZL,12990,123593,New Zealand
2020,36908,6235,OMN,30673,50512,Oman
2020,44603,19727,PAK,24876,30962,Pakistan
2020,32768,7619,PAN,25149,51468,Panama
2020,56833,44344,PER,12489,12133,Peru
2020,120709,90502,PHL,30207,113435,Philippines
2020,281,0,PLW,281,0,Palau
2020,40362,39008,PNG,1354,40897,Papua New Guinea
2020,89364,15829,POL,73535,76845,Poland
2020,64962,18222,PRI,46740,9095,Puerto Rico
2020,423,0,PRK,423,832,Democratic People's Republic of Korea
2020,99286,29851,PRT,69435,66298,Portugal
2020,3151,340,PRY,2811,1073,Paraguay
2020,15362,14481,PYF,881,15926,French Polynesia
2020,71151,0,QAT,71151,135208,Qatar
2020,3065,0,REU,3065,3293,Reunion
2020,46883,8721,ROU,38162,31274,Romania
2020,583530,493799,RUS,89731,609078,Russian Federation
2020,5212,314,RWA,4898,8492,Rwanda
2020,190133,130175,SAU,59958,169590,Saudi Arabia
2020,13724,4966,SDN,8758,15539,Sudan
2020,10047,2534,SEN,7513,11272,Senegal
2020,55125,0,SGP,55125,63201,Singapore
2020,561,0,SHN,561,0,Saint Helena
2020,6465,5979,SLB,486,7009,Solomon Islands
2020,1002,0,SLE,1002,0,Sierra Leone
2020,8182,0,SLV,8182,1209,El Salvador
2020,4551,1264,SOM,3287,0,Somalia
2020,442,0,SPM,442,882,Saint Pierre and Miquelon
2020,17331,1,SRB,17330,15359,Serbia
2020,2608,392,SSD,2216,0,South Sudan
2020,1116,660,STP,456,795,Sao Tome and Principe
2020,1375,0,SUR,1375,2933,Suriname
2020,3110,0,SVK,3110,0,Slovakia
2020,1943,0,SVN,1943,0,Slovenia
2020,84862,43311,SWE,41551,137868,Sweden
2020,9762,8518,SYC,1244,9033,Seychelles
2020,1602,2,SYR,1600,2546,Syrian Arab Republic
2020,13009,8773,TCA,4236,24718,Turks and Caicos Islands
2020,1751,650,TCD,1101,2492,Chad
2020,3404,0,TGO,3404,9555,Togo
2020,254960,185526,THA,69434,234761,Thailand
2020,3737,162,TJK,3575,3738,Tajikistan
2020,9057,8253,TKM,804,9197,Turkmenistan
2020,835,0,TLS,835,0,Timor-Leste
2020,2801,2538,TON,263,0,Tonga
2020,14526,8600,TTO,5926,16321,Trinidad and Tobago
2020,18965,2939,TUN,16026,19191,Tunisia
2020,186424,125071,TUR,61353,224016,Turkey
2020,65,0,TUV,65,0,Tuvalu
2020,130264,72862,TWN,57402,147826,Taiwan Island
2020,91516,82066,TZA,9450,88190,United Republic of Tanzania
2020,9859,2925,UGA,6934,7736,Uganda
2020,54854,9358,UKR,45496,37009,Ukraine
2020,3519,2,URY,3517,1680,Uruguay
2020,5870964,5496536,USA,374428,5914352,United States of America
2020,6089,1896,UZB,4193,6315,Uzbekistan
2020,1999,0,VCT,1999,0,Saint Vincent and the Grenadines
2020,20175,14897,VEN,5278,37747,Venezuela (Bolivarian Republic of)
2020,14826,1511,VGB,13315,2267,British Virgin Islands
2020,33762,13843,VIR,19919,14016,United States Virgin Islands
2020,256244,213907,VNM,42337,202865,Viet Nam
2020,9705,9157,VUT,548,9729,Vanuatu
2020,1479,1384,WLF,95,0,Wallis and Futuna Islands
2020,807,0,WSM,807,1132,Samoa
2020,463,8,YEM,455,560,Yemen
2020,96704,76147,ZAF,20557,102696,South Africa
2020,10390,6394,ZMB,3996,6648,Zambia
2020,7577,2896,ZWE,4681,3866,Zimbabwe
