Departures,Domestic,International,FlagCarrier_Flights,Name,Area,Development_Level,Traffic
11360,0,11360,10066,Lebanon,Asia,Medium,Moderate
878,0,878,0,Liberia,Asia,Low,Small
4782,270,4512,9739,Libya,Asia,Low,Small
3458,0,3458,0,Saint Lucia,Americas,Low,Small
11383,1399,9984,10777,Sri Lanka,Asia,Low,Moderate
306,0,306,0,Lesotho,Africa,Low,Small
11455,0,11455,2242,Lithuania,Europe,Medium,Moderate
18119,0,18119,32780,Luxembourg,Europe,High,Moderate
15160,169,14991,23440,Latvia,Europe,Medium,Moderate
"9388,0,9388,7885,""China, Macao Special Administrative Region"",Asia,Low,Small"
43674,10078,33596,45937,Morocco,Africa,Medium,Moderate
16072,0,16072,0,Monaco,Europe,High
4296,0,4296,2282,Republic of Moldova,Europe,Low,Small
9204,7352,1852,8029,Madagascar,Africa,Low,Small
11387,6337,5050,7982,Maldives,Asia,Low,Moderate
419140,317972,101168,375359,Mexico,Americas,Medium,Large
348,96,252,0,Marshall Islands,Pacific,Low,Small
5023,0,5023,0,The Republic of North Macedonia,Europe,Low,Small
3306,160,3146,0,Mali,Africa,Low,Small
10431,0,10431,12927,Malta,Europe,High,Moderate
56732,48093,8639,48455,Myanmar,Asia,Low,Large
4068,0,4068,2856,Montenegro,Europe,Medium,Small
2615,1841,774,3040,Mongolia,Asia,Low,Small
1918,0,1918,0,Northern Mariana Islands,Pacific,Low,Small
9619,7705,1914,6897,Mozambique,Africa,Low,Small
2376,539,1837,3808,Mauritania,Africa,Low,Small
1064,0,1064,2116,Montserrat,Americas,Low,Small
1501,0,1501,0,Martinique,Americas,Low,Small
4822,2078,2744,4928,Mauritius,Africa,Low,Small
5182,2924,2258,3353,Malawi,Africa,Low,Small
195532,143352,52180,202210,Malaysia,Asia,High,Large
2236,0,2236,2651,Mayotte,Africa,Low,Small
6432,3807,2625,6293,Namibia,Africa,Low,Small
9565,8799,766,11453,New Caledonia,Pacific,Low,Small
2111,160,1951,160,Niger,Africa,Low,Small
218,0,218,0,Norfolk Island,Pacific,Low,Small
50153,41225,8928,38035,Nigeria,Africa,Medium,Large
6300,3404,2896,3498,Nicaragua,Americas,Low,Small
45,0,45,0,Niue,Pacific,Low,Small
129591,197,129394,170672,Netherlands,Europe,High,Large
205852,170566,35286,146484,Norway,Europe,High,Large
62374,55974,6400,61342,Nepal,Asia,Low,Large
112,0,112,335,Nauru,Pacific,Low,Small
150882,137892,12990,123593,New Zealand,Pacific,High,Large
36908,6235,30673,50512,Oman,Asia,Medium,Large
44603,19727,24876,30962,Pakistan,Asia,Medium,Large
32768,7619,25149,51468,Panama,Americas,Medium,Large
56833,44344,12489,12133,Peru,Americas,Medium,Large
120709,90502,30207,113435,Philippines,Asia,Medium,Large
281,0,281,0,Palau,Low,Small
40362,39008,1354,40897,Papua New Guinea,Pacific,Low,Large
89364,15829,73535,76845,Poland,Europe,High,Large
64962,18222,46740,9095,Puerto Rico,Americas,Medium,Large
423,0,423,832,Democratic People's Republic of Korea,Asia,Low,Small
99286,29851,69435,66298,Portugal,Europe,High,Large
3151,340,2811,1073,Paraguay,Americas,Low,Small
15362,14481,881,15926,French Polynesia,Pacific,Low,Moderate
71151,0,71151,135208,Qatar,Asia,Medium,Large
3065,0,3065,3293,Reunion,Africa,Low,Small
46883,8721,38162,31274,Romania,Europe,Medium,Large
583530,493799,89731,609078,Russian Federation,Asia,Medium,Large
5212,314,4898,8492,Rwanda,Africa,Low,Small
190133,130175,59958,169590,Saudi Arabia,Asia,Medium,Large
13724,4966,8758,15539,Sudan,Africa,Low,Small
10047,2534,7513,11272,Senegal,Africa,Low,Small
55125,0,55125,63201,Singapore,Asia,High,Large
561,0,561,0,Saint Helena,Americas,Medium,Small
6465,5979,486,7009,Solomon Islands,Pacific,Low,Small
1002,0,1002,0,Sierra Leone,Africa,Low,Small
8182,0,8182,1209,El Salvador,Americas,Low,Small
4551,1264,3287,0,Somalia,Africa,Low,Small
442,0,442,882,Saint Pierre and Miquelon,Americas,Low,Small
17331,1,17330,15359,Serbia,Europe,Medium
2608,392,2216,0,South Sudan,Africa,Low,Small
1116,660,456,795,Sao Tome and Principe,Africa,Low,Small
1375,0,1375,2933,Suriname,Americas,Low,Small
3110,0,3110,0,Slovakia,Europe,High,Small
1943,0,1943,0,Slovenia,Europe,High,Small
84862,43311,41551,137868,Sweden,Europe,High,Large
9762,8518,1244,9033,Seychelles,Africa,Low,Small
1602,2,1600,2546,Syrian Arab Republic,Asia,Low,Small
13009,8773,4236,24718,Turks and Caicos Islands,Americas,Low,Moderate
1751,650,1101,2492,Chad,Africa,Low,Small
3404,0,3404,9555,Togo,Africa,Low,Small
254960,185526,69434,234761,Thailand,Asia,Medium,Moderate
3737,162,3575,3738,Tajikistan,Asia,Low,Small
9057,8253,804,9197,Turkmenistan,Asia,Low,Small
835,0,835,0,Timor-Leste,Asia,Low,Small
2801,2538,263,0,Tonga,Pacific,Low,Small
14526,8600,5926,16321,Trinidad and Tobago,Americas,Low,Moderate
18965,2939,16026,19191,Tunisia,Africa,Low,Moderate
186424,125071,61353,224016,Turkey,Asia,Medium,Large
65,0,65,0,Tuvalu,Pacific,Low,Small
130264,72862,57402,147826,Taiwan Island,Asia,High,Moderate
91516,82066,9450,88190,United Republic of Tanzania,Africa,Low,Large
9859,2925,6934,7736,Uganda,Africa,Low,Small
54854,9358,45496,37009,Ukraine,Europe,Medium,Large
3519,2,3517,1680,Uruguay,Americas,Medium,Small
5870964,5496536,374428,5914352,United States of America,Americas,High,Large
6089,1896,4193,6315,Uzbekistan,Asia,Low,Small
1999,0,1999,0,Saint Vincent and the Grenadines,Americas,Low,Small
20175,14897,5278,37747,Venezuela (Bolivarian Republic of),Americas,Medium,Moderate
14826,1511,13315,2267,British Virgin Islands,Americas,High,Moderate
33762,13843,19919,14016,United States Virgin Islands,Americas,Larg
256244,213907,42337,202865,Vietnam,Asia,Low,Moderate
9705,9157,548,9729,Vanuatu,Pacific,Low,Small
1479,1384,95,0,Wallis and Futuna Islands,Pacific,Low,Small
807,0,807,1132,Samoa,Pacific,Low,Small
463,8,455,560,Yemen,Asia,Low,Small
96704,76147,20557,102696,South Africa,Africa,High,Large
10390,6394,3996,6648,Zambia,Africa,Low,Small
7577,2896,4681,3866,Zimbabwe,Africa,Low,Small
